Filename,Bad Exposure,Bad Saturation,Noise,Haze,Undesired Blur
0043_20160920_121910_067merged_adjust_local.jpg,0.45,0.1,0.0,0.0,0.0
33TJ_20150721_094604_503merged_adjust_local.jpg,0.25,0.15,0.25,0.15,0.25
4742_20151130_071618_123e785_interp_adjust_local.jpg,0.25,-0.05,0.25,0.45,0.25
0043_20161102_162132_031motionmag_average_adjust_local.jpg,0.35,-0.3,0.25,0.0,0.2
5066_20151225_192311_774align_average.jpg,0.8,-0.3,0.1,0.0,0.4
33TJ_20150625_230223_549noise_nlm_sharp_162.jpg,0.35,-0.15,0.25,0.0,0.15
5a9e_20141005_170016_197align_average_adjust_awb.jpg,0.35,0.0,0.25,0.05,0.2
0094_20150412_140204_148naive_average.jpg,0.35,-0.15,0.25,0.05,0.25
c483_20150901_203352_369naive_average.jpg,0.45,-0.4,0.2,0.05,0.25
5066_20151225_022717_861noise_nlm_sharp_5760.jpg,0.9375,0.6875,0.7,0.1875,0.75
5a9e_20150328_175320_574naive_average.jpg,0.5,-0.5,0.2,0.2,0.2
0919_20150910_143608_358e774_adjust_local.jpg,0.35,-0.05,0.2,0.0,0.15
9bf4_20150824_211050_331naive_average_adjust.jpg,0.3,0.4,0.15,0.05,0.2
6G7M_20150403_161201_007noise_adjust_310.jpg,0.4,-0.15,0.2,0.0,0.1
1125_20160318_221831_805e774_adjust_local.jpg,0.25,0.15,0.35,0.0,0.25
33TJ_20150822_190219_015align_average_adjust_awb.jpg,0.45,-0.4375,0.15,0.2,0.2
5a9e_20141010_180937_237merged_adjust_local_exp.jpg,0.25,0.15,0.25,0.25,0.3
0009_20160702_184507_653align_average.jpg,0.4,-0.0625,0.3,0.1,0.25
62CL_20150215_175353_555e785_interp_adjust.jpg,0.4,-0.05,0.25,0.15,0.1
0382_20150913_115214_654e785_interp_adjust.jpg,0.25,0.25,0.2,0.1,0.2
0037_20160719_123040_263merged_adjust_local_sat.jpg,0.55,0.5,0.45,0.0,0.2
6G7M_20150328_174642_031naive_average_adjust.jpg,0.35,0.0,0.2,0.05,0.25
J6ZC_20150408_183124_341noise_adjust_233.jpg,0.3,-0.1,0.25,0.0,0.25
0039_20141007_160811_840align_average_adjust.jpg,0.25,-0.3,0.3,0.3,0.3
1125_20160214_141733_646align_average_adjust_awb.jpg,0.35,-0.15,0.25,0.05,0.2
9bf4_20150818_110209_412e785_interp_adjust.jpg,0.25,0.15,0.3,0.0,0.25
5a9e_20150207_134833_157noise_adjust4_136.jpg,0.25,0.1,0.3,0.05,0.15
47L8_20150630_191231_508e698_adjust_local.jpg,0.15,0.0,0.15,0.5,0.15
